gen,best_FO,avg_FO
224,10614,-5.03215e+07
225,10614,-5.66624e+07
226,10614,-5.61987e+07
227,10614,-5.63929e+07
228,10614,-5.37309e+07
229,10614,-5.47433e+07
230,10614,-5.6972e+07
231,10614,-5.12087e+07
232,10614,-5.37853e+07
233,10614,-6.38175e+07
234,10614,-6.80242e+07
235,10614,-6.65342e+07
236,10614,-6.70849e+07
237,10614,-7.04215e+07
238,10614,-7.07076e+07
239,10614,-6.72838e+07
240,10614,-6.16563e+07
241,10614,-6.80676e+07
242,10614,-6.33512e+07
243,10614,-6.01257e+07
244,10614,-6.50663e+07
245,10614,-5.75017e+07
246,10614,-6.54577e+07
247,10614,-5.9414e+07
248,10614,-5.13079e+07
249,10614,-4.91004e+07
250,10614,-5.13625e+07
